Company,Customer ID,Cliente,Pagador,Loan ID,True Payment Date,True Devolution,True Total Payment,True Payment Currency,True Principal Payment,True Interest Payment,True Fee Payment,True Other Payment,True Tax Payment,True Fee Tax Payment,True Rabates,True Outstanding Loan Value,True Payment Status,payment_efficiency
Abaco Financial,CLI2000,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 001 SYSTEMS EL SALVADOR SA DE CV,DSB3429-001,2025-09-30,0.0,29213.61,USD,35580.03,80.02,1090.66,,2.16,103.53,0,6580.79,On Time,1.0
Abaco Financial,CLI2001,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 002 SYSTEMS EL SALVADOR SA DE CV,DSB3717-002,2025-09-29,0.0,10011.09,USD,13760.55,59.75,609.93,,11.67,57.19,0,2855.88,On Time,1.0
Abaco Financial,CLI2002,CLIENTE 003 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1629-003,2025-09-28,0.0,49077.89,USD,20957.02,79.71,470.89,,7.02,154.97,0,2086.24,Late,0.42701550535281774
Abaco Financial,CLI2003,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1426-004,2025-09-27,658.45,5926.51,USD,36952.54,63.53,353.17,,5.87,69.99,0,347.88,Prepayment,1.0
Abaco Financial,CLI2004,"SUPER MARINO, S.A. DE C.V.",PAGADOR 005 SYSTEMS EL SALVADOR SA DE CV,DSB3619-005,2025-09-26,0.01,62074.1,USD,4947.93,13.84,1398.14,,3.25,135.92,0,491.7,On Time,0.0797100562070171
Abaco Financial,CLI2005,CLIENTE 006 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2252-006,2025-09-25,0.0,8901.46,USD,31352.3,62.0,112.8,,3.58,76.59,0,5312.52,On Time,1.0
Abaco Financial,CLI2006,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2721-007,2025-09-24,0.01,34469.31,USD,3811.21,70.67,142.14,,4.96,200.9,0,4017.68,On Time,0.11056821270863851
Abaco Financial,CLI2007,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3249-008,2025-09-23,0.0,28492.66,USD,51566.88,9.88,1115.67,,11.06,15.27,0,5490.76,On Time,1.0
Abaco Financial,CLI2008,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2347-009,2025-09-22,0.0,13037.98,USD,44789.04,90.85,1445.34,,10.27,44.76,0,92.86,On Time,1.0
Abaco Technologies,CLI2009,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3672-010,2025-09-21,0.01,37872.11,USD,44799.33,65.22,726.8,,4.53,141.71,0,3292.74,On Time,1.0
Abaco Financial,CLI2010,CLIENTE 011 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1051-011,2025-09-20,0.01,10122.17,USD,37403.56,78.27,1013.98,,3.43,113.1,0,1377.49,On Time,1.0
Abaco Technologies,CLI2011,"SUPER MARINO, S.A. DE C.V.",PAGADOR 012 SYSTEMS EL SALVADOR SA DE CV,DSB2352-012,2025-09-19,658.45,10451.63,USD,57258.13,41.15,406.53,,9.61,83.69,0,5814.1,On Time,1.0
Abaco Technologies,CLI2012,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3716-013,2025-09-18,658.45,56910.46,USD,33593.42,74.38,1370.45,,1.87,145.02,0,5456.81,Prepayment,0.5902855116616523
Abaco Financial,CLI2013,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1817-014,2025-09-17,658.45,61400.33,USD,54911.32,23.32,1025.08,,11.41,5.61,0,8020.7,Late,0.8943163660521043
Abaco Financial,CLI2014,"SUPER MARINO, S.A. DE C.V.",PAGADOR 015 SYSTEMS EL SALVADOR SA DE CV,DSB2077-015,2025-09-16,0.01,33159.01,USD,13424.21,27.37,1447.64,,10.44,141.7,0,5329.68,On Time,0.40484351010479497
Abaco Financial,CLI2015,CLIENTE 016 ALEXANDER AGUILAR AGUILAR,PAGADOR 016 SYSTEMS EL SALVADOR SA DE CV,DSB2209-016,2025-09-15,0.0,9592.2,USD,27213.51,14.33,979.82,,5.11,113.24,0,7686.68,On Time,1.0
Abaco Financial,CLI2016,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 017 SYSTEMS EL SALVADOR SA DE CV,DSB3313-017,2025-09-14,0.0,12140.95,USD,19259.99,29.38,1092.9,,7.25,147.98,0,874.25,On Time,1.0
Abaco Technologies,CLI2017,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 018 SYSTEMS EL SALVADOR SA DE CV,DSB2836-018,2025-09-13,0.01,59079.28,USD,39606.66,65.4,1276.63,,10.88,152.76,0,6652.31,On Time,0.6703984882686452
Abaco Financial,CLI2018,CLIENTE 019 ALEXANDER AGUILAR AGUILAR,PAGADOR 019 SYSTEMS EL SALVADOR SA DE CV,DSB3959-019,2025-09-12,658.45,15632.18,USD,5451.79,71.3,1460.86,,9.82,153.83,0,4200.59,On Time,0.34875430042386923
Abaco Financial,CLI2019,"SUPER MARINO, S.A. DE C.V.",PAGADOR 020 SYSTEMS EL SALVADOR SA DE CV,DSB2022-020,2025-09-11,658.45,49115.12,USD,27272.27,49.54,605.43,,4.1,52.36,0,1344.17,Late,0.5552723886249286
Abaco Financial,CLI2020,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3243-021,2025-09-10,0.0,6697.34,USD,30726.04,58.15,757.23,,1.05,3.84,0,5491.06,Late,1.0
Abaco Financial,CLI2021,CLIENTE 022 ALEXANDER AGUILAR AGUILAR,PAGADOR 022 SYSTEMS EL SALVADOR SA DE CV,DSB2499-022,2025-09-09,0.01,15730.52,USD,36826.86,55.15,132.11,,8.39,192.93,0,3492.88,Late,1.0
Abaco Technologies,CLI2022,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB2990-023,2025-09-08,0.01,53592.18,USD,23156.68,46.58,310.8,,5.84,94.95,0,8054.22,Late,0.43209065203169567
Abaco Technologies,CLI2023,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 024 SYSTEMS EL SALVADOR SA DE CV,DSB1757-024,2025-09-07,658.45,25292.95,USD,23306.68,63.35,25.95,,8.94,134.66,0,3853.99,Late,0.921469421320961
Abaco Financial,CLI2024,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1610-025,2025-09-06,658.45,5299.88,USD,18679.42,54.47,1257.22,,4.78,36.5,0,4551.0,On Time,1.0
Abaco Financial,CLI2025,"SUPER MARINO, S.A. DE C.V.",PAGADOR 026 SYSTEMS EL SALVADOR SA DE CV,DSB1981-026,2025-09-05,0.01,51608.55,USD,12964.77,43.06,213.29,,6.55,96.11,0,5397.61,Late,0.25121360704766943
Abaco Technologies,CLI2026,CLIENTE 027 ALEXANDER AGUILAR AGUILAR,PAGADOR 027 SYSTEMS EL SALVADOR SA DE CV,DSB3644-027,2025-09-04,0.0,58706.29,USD,30996.32,64.47,1124.21,,3.85,66.22,0,4468.53,On Time,0.5279897605520635
Abaco Financial,CLIAB000223,"SUPER MARINO, S.A. DE C.V.",PAGADOR 028 SYSTEMS EL SALVADOR SA DE CV,DSB1333-028,2025-09-03,0.01,57839.93,USD,47599.82,25.53,952.77,,7.45,138.33,0,612.72,On Time,0.8229577732891447
Abaco Financial,CLIAB000224,CLIENTE 029 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3475-029,2025-09-02,0.0,13395.08,USD,45139.99,92.75,1317.12,,3.97,196.58,0,5582.74,Late,1.0
Abaco Technologies,CLIAB000225,"SUPER MARINO, S.A. DE C.V.",PAGADOR 030 SYSTEMS EL SALVADOR SA DE CV,DSB2793-030,2025-09-01,0.0,24051.35,USD,35923.23,23.32,129.83,,3.09,87.58,0,5564.82,On Time,1.0
Abaco Technologies,CLIAB000226,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1846-031,2025-08-31,658.45,8519.85,USD,52643.08,77.76,1040.78,,11.2,151.18,0,436.39,On Time,1.0
Abaco Financial,CLIAB000227,"SUPER MARINO, S.A. DE C.V.",PAGADOR 032 SYSTEMS EL SALVADOR SA DE CV,DSB1460-032,2025-08-30,658.45,41231.55,USD,3365.24,46.93,1486.42,,3.25,9.34,0,580.64,On Time,0.0816180812993933
Abaco Technologies,CLIAB000228,CLIENTE 033 ALEXANDER AGUILAR AGUILAR,PAGADOR 033 SYSTEMS EL SALVADOR SA DE CV,DSB3828-033,2025-08-29,658.45,33598.18,USD,30747.27,71.9,1325.22,,4.92,185.42,0,1734.02,Prepayment,0.9151468918852153
Abaco Technologies,CLIAB000229,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB2518-034,2025-08-28,0.01,19356.73,USD,52343.18,48.3,1402.88,,5.28,174.96,0,4596.81,On Time,1.0
Abaco Financial,CLIAB000230,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 035 SYSTEMS EL SALVADOR SA DE CV,DSB3793-035,2025-08-27,658.45,27304.15,USD,39937.01,49.74,1246.74,,3.46,36.51,0,7418.84,On Time,1.0
Abaco Financial,CLIAB000231,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3563-036,2025-08-26,0.0,4506.59,USD,53118.85,28.25,319.97,,11.32,163.94,0,3212.29,On Time,1.0
Abaco Financial,CLIAB000232,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2458-037,2025-08-25,0.0,44068.14,USD,16004.46,57.62,106.89,,10.88,169.37,0,2524.77,On Time,0.3631753007955407
Abaco Financial,CLIAB000233,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3763-038,2025-08-24,0.01,47101.79,USD,19246.01,10.11,1372.8,,8.1,5.2,0,765.03,On Time,0.40860464113996514
Abaco Financial,CLIAB000234,CLIENTE 039 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3912-039,2025-08-23,0.01,27049.98,USD,57621.58,89.47,1060.86,,8.2,89.79,0,1304.03,On Time,1.0
Abaco Financial,CLIAB000235,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB3037-040,2025-08-22,0.0,35681.34,USD,37309.35,82.97,1515.83,,1.44,109.13,0,349.19,Late,1.0
Abaco Financial,CLIAB000236,CLIENTE 041 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB2877-041,2025-08-21,0.0,54708.17,USD,31144.15,43.84,1395.99,,5.51,163.06,0,5575.19,On Time,0.5692778610580468
Abaco Technologies,CLIAB000237,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2412-042,2025-08-20,0.0,35687.22,USD,25521.16,93.55,685.4,,3.43,43.05,0,827.43,On Time,0.7151344374821014
Abaco Financial,CLIAB000238,"SUPER MARINO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1677-043,2025-08-19,658.45,61431.9,USD,31683.45,52.66,1321.14,,9.54,86.98,0,1742.32,On Time,0.5157491466160089
Abaco Technologies,CLIAB000239,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3314-044,2025-08-18,0.0,23582.01,USD,42798.12,17.91,37.54,,3.76,171.81,0,5755.51,Late,1.0
Abaco Financial,CLIAB000240,CLIENTE 045 ALEXANDER AGUILAR AGUILAR,PAGADOR 045 SYSTEMS EL SALVADOR SA DE CV,DSB2740-045,2025-08-17,0.0,57463.52,USD,26230.55,19.92,667.09,,8.3,45.37,0,1192.08,On Time,0.4564730806605652
Abaco Financial,CLIAB000241,CLIENTE 046 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB3481-046,2025-08-16,0.01,18417.03,USD,953.84,35.8,1142.24,,5.93,143.6,0,3674.33,On Time,0.051791195431619544
Abaco Financial,CLIAB000242,CLIENTE 047 ALEXANDER AGUILAR AGUILAR,OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1603-047,2025-08-15,658.45,40971.64,USD,36746.99,72.37,1249.17,,10.33,140.73,0,1818.15,Prepayment,0.8968884330722421
Abaco Financial,CLIAB000243,CLIENTE 048 ALEXANDER AGUILAR AGUILAR,PAGADOR 048 SYSTEMS EL SALVADOR SA DE CV,DSB1991-048,2025-08-14,0.01,23738.66,USD,20518.51,56.16,1307.37,,11.4,47.84,0,3613.09,On Time,0.8643499675213343
Abaco Financial,CLIAB000244,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB1422-049,2025-08-13,0.01,6350.43,USD,26501.86,79.18,1469.98,,10.04,180.23,0,7919.11,On Time,1.0
Abaco Technologies,CLIAB000245,CLIENTE 050 ALEXANDER AGUILAR AGUILAR,PAGADOR 050 SYSTEMS EL SALVADOR SA DE CV,DSB3527-050,2025-08-12,0.0,48565.02,USD,37563.51,34.43,1430.09,,12.16,89.99,0,1201.99,On Time,0.7734684346881769
Abaco Technologies,CLIAB000246,CLIENTE 051 ALEXANDER AGUILAR AGUILAR,CTE TELECOM SA DE CV,DSB1888-051,2025-08-11,0.01,19767.26,USD,22905.36,41.46,802.08,,12.11,60.8,0,3593.6,On Time,1.0
Abaco Technologies,CLIAB000247,"SUPER MARINO, S.A. DE C.V.",CTE TELECOM SA DE CV,DSB2451-052,2025-08-10,0.01,30304.17,USD,49631.14,41.19,1363.63,,5.87,88.13,0,2493.09,On Time,1.0
Abaco Technologies,CLIAB000248,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",PAGADOR 053 SYSTEMS EL SALVADOR SA DE CV,DSB2701-053,2025-08-09,0.0,57524.49,USD,13349.07,40.01,445.48,,5.65,52.45,0,6146.21,On Time,0.23205890221712527
Abaco Financial,CLIAB000249,"PRODUCTOS DE CONCRETO, S.A. DE C.V.",OPERADORA Y PROCESADORA DE PRODUCTOS MARINOS S.A.,DSB1732-054,2025-08-08,0.0,52025.48,USD,47073.25,66.53,475.12,,2.86,51.47,0,2914.46,On Time,0.9048114500817676
